Year	Neighborhood Code	Age	Immigrants
2017	1	0-4	154
2017	2	0-4	58
2017	3	0-4	38
2017	4	0-4	56
2017	5	0-4	79
2017	6	0-4	111
2017	7	0-4	121
2017	8	0-4	97
2017	9	0-4	123
2017	10	0-4	57
2017	11	0-4	80
2017	12	0-4	1
2017	13	0-4	71
2017	14	0-4	14
2017	15	0-4	31
2017	16	0-4	33
2017	17	0-4	49
2017	18	0-4	106
2017	19	0-4	103
2017	20	0-4	81
2017	21	0-4	36
2017	22	0-4	20
2017	23	0-4	87
2017	24	0-4	72
2017	25	0-4	59
2017	26	0-4	141
2017	27	0-4	74
2017	28	0-4	37
2017	29	0-4	18
2017	30	0-4	41
2017	31	0-4	88
2017	32	0-4	73
2017	33	0-4	48
2017	34	0-4	16
2017	35	0-4	72
2017	36	0-4	14
2017	37	0-4	66
2017	38	0-4	15
2017	39	0-4	15
2017	40	0-4	11
2017	41	0-4	11
2017	42	0-4	1
2017	43	0-4	50
2017	44	0-4	51
2017	45	0-4	66
2017	46	0-4	64
2017	47	0-4	3
2017	48	0-4	23
2017	49	0-4	6
2017	50	0-4	57
2017	51	0-4	33
2017	52	0-4	56
2017	53	0-4	22
2017	54	0-4	5
2017	55	0-4	47
2017	56	0-4	5
2017	57	0-4	40
2017	58	0-4	5
2017	59	0-4	31
2017	60	0-4	90
2017	61	0-4	45
2017	62	0-4	17
2017	63	0-4	26
2017	64	0-4	88
2017	65	0-4	43
2017	66	0-4	30
2017	67	0-4	29
2017	68	0-4	94
2017	69	0-4	68
2017	70	0-4	125
2017	71	0-4	53
2017	72	0-4	48
2017	73	0-4	70
2017	99	0-4	0
2017	1	5-9	133
2017	2	5-9	46
2017	3	5-9	26
2017	4	5-9	39
2017	5	5-9	59
2017	6	5-9	81
2017	7	5-9	75
2017	8	5-9	63
2017	9	5-9	91
2017	10	5-9	43
2017	11	5-9	60
2017	12	5-9	2
2017	13	5-9	54
2017	14	5-9	13
2017	15	5-9	22
2017	16	5-9	27
2017	17	5-9	42
2017	18	5-9	79
2017	19	5-9	71
2017	20	5-9	44
2017	21	5-9	40
2017	22	5-9	12
2017	23	5-9	61
2017	24	5-9	49
2017	25	5-9	41
2017	26	5-9	80
2017	27	5-9	54
2017	28	5-9	28
2017	29	5-9	9
2017	30	5-9	24
2017	31	5-9	58
2017	32	5-9	34
2017	33	5-9	30
2017	34	5-9	13
2017	35	5-9	39
2017	36	5-9	4
2017	37	5-9	50
2017	38	5-9	16
2017	39	5-9	15
2017	40	5-9	6
2017	41	5-9	7
2017	42	5-9	3
2017	43	5-9	33
2017	44	5-9	35
2017	45	5-9	57
2017	46	5-9	36
2017	47	5-9	2
2017	48	5-9	20
2017	49	5-9	3
2017	50	5-9	32
2017	51	5-9	36
2017	52	5-9	35
2017	53	5-9	21
2017	54	5-9	10
2017	55	5-9	42
