Year	Neighborhood Code	Gender	Immigrants
2017	1	Male	3063
2017	2	Male	1499
2017	3	Male	910
2017	4	Male	1438
2017	5	Male	1082
2017	6	Male	1693
2017	7	Male	1543
2017	8	Male	1693
2017	9	Male	1927
2017	10	Male	1253
2017	11	Male	1595
2017	12	Male	17
2017	13	Male	724
2017	14	Male	351
2017	15	Male	584
2017	16	Male	471
2017	17	Male	703
2017	18	Male	1407
2017	19	Male	1054
2017	20	Male	608
2017	21	Male	367
2017	22	Male	89
2017	23	Male	606
2017	24	Male	337
2017	25	Male	531
2017	26	Male	1092
2017	27	Male	733
2017	28	Male	355
2017	29	Male	166
2017	30	Male	382
2017	31	Male	1623
2017	32	Male	833
2017	33	Male	620
2017	34	Male	240
2017	35	Male	874
2017	36	Male	121
2017	37	Male	671
2017	38	Male	246
2017	39	Male	213
2017	40	Male	129
2017	41	Male	92
2017	42	Male	18
2017	43	Male	521
2017	44	Male	509
2017	45	Male	647
2017	46	Male	409
2017	47	Male	26
2017	48	Male	218
2017	49	Male	62
2017	50	Male	413
2017	51	Male	305
2017	52	Male	571
2017	53	Male	221
2017	54	Male	53
2017	55	Male	409
2017	56	Male	31
2017	57	Male	368
2017	58	Male	47
2017	59	Male	307
2017	60	Male	939
2017	61	Male	643
2017	62	Male	297
2017	63	Male	501
2017	64	Male	1075
2017	65	Male	651
2017	66	Male	490
2017	67	Male	190
2017	68	Male	874
2017	69	Male	379
2017	70	Male	1146
2017	71	Male	469
2017	72	Male	536
2017	73	Male	602
2017	1	Female	2337
2017	2	Female	1188
2017	3	Female	849
2017	4	Female	1327
2017	5	Female	1155
2017	6	Female	1898
2017	7	Female	1657
2017	8	Female	1774
2017	9	Female	2135
2017	10	Female	1237
2017	11	Female	1492
2017	12	Female	15
2017	13	Female	775
2017	14	Female	295
2017	15	Female	575
2017	16	Female	474
2017	17	Female	773
2017	18	Female	1432
2017	19	Female	1222
2017	20	Female	727
2017	21	Female	397
2017	22	Female	98
2017	23	Female	602
2017	24	Female	365
2017	25	Female	650
2017	26	Female	1342
2017	27	Female	782
2017	28	Female	417
2017	29	Female	206
2017	30	Female	350
2017	31	Female	1964
2017	32	Female	958
2017	33	Female	665
2017	34	Female	233
2017	35	Female	963
2017	36	Female	162
2017	37	Female	743
2017	38	Female	266
2017	39	Female	173
2017	40	Female	127
2017	41	Female	95
2017	42	Female	21
2017	43	Female	606
2017	44	Female	547
2017	45	Female	751
2017	46	Female	469
2017	47	Female	31
2017	48	Female	275
2017	49	Female	78
2017	50	Female	507
2017	51	Female	361
2017	52	Female	635
2017	53	Female	237
2017	54	Female	42
2017	55	Female	429
2017	56	Female	38
2017	57	Female	307
2017	58	Female	45
2017	59	Female	351
2017	60	Female	1026
2017	61	Female	711
2017	62	Female	306
2017	63	Female	487
2017	64	Female	1126
2017	65	Female	651
2017	66	Female	469
2017	67	Female	220
2017	68	Female	891
2017	69	Female	401
2017	70	Female	870
2017	71	Female	505
2017	72	Female	537
2017	73	Female	638
2016	1	Male	2819
2016	2	Male	1135
2016	3	Male	785
2016	4	Male	1210
2016	5	Male	962
2016	6	Male	1472
2016	7	Male	1367
2016	8	Male	1412
2016	9	Male	1667
2016	10	Male	1067
2016	11	Male	1439
2016	12	Male	18
2016	13	Male	622
2016	14	Male	302
2016	15	Male	518
2016	16	Male	442
2016	17	Male	642
2016	18	Male	1121
2016	19	Male	977
2016	20	Male	588
2016	21	Male	369
2016	22	Male	75
2016	23	Male	542
2016	24	Male	264
2016	25	Male	526
2016	26	Male	1041
2016	27	Male	580
2016	28	Male	325
2016	29	Male	161
2016	30	Male	304
2016	31	Male	1405
2016	32	Male	702
2016	33	Male	510
2016	34	Male	174
2016	35	Male	774
2016	36	Male	99
2016	37	Male	555
2016	38	Male	268
2016	39	Male	177
2016	40	Male	97
2016	41	Male	113
2016	42	Male	8
2016	43	Male	463
2016	44	Male	447
2016	45	Male	548
2016	46	Male	336
2016	47	Male	31
2016	48	Male	204
2016	49	Male	64
2016	50	Male	383
2016	51	Male	273
2016	52	Male	475
2016	53	Male	171
2016	54	Male	55
2016	55	Male	316
2016	56	Male	37
2016	57	Male	300
2016	58	Male	40
2016	59	Male	251
2016	60	Male	854
2016	61	Male	533
2016	62	Male	251
2016	63	Male	443
2016	64	Male	920
2016	65	Male	570
2016	66	Male	450
2016	67	Male	196
2016	68	Male	807
2016	69	Male	337
2016	70	Male	871
2016	71	Male	398
2016	72	Male	502
2016	73	Male	506
2016	1	Female	2157
2016	2	Female	1063
2016	3	Female	763
2016	4	Female	1167
2016	5	Female	1032
2016	6	Female	1683
2016	7	Female	1576
2016	8	Female	1499
2016	9	Female	1819
2016	10	Female	1079
2016	11	Female	1290
2016	12	Female	17
2016	13	Female	679
2016	14	Female	298
2016	15	Female	505
2016	16	Female	445
2016	17	Female	724
2016	18	Female	1201
2016	19	Female	1070
2016	20	Female	622
2016	21	Female	366
2016	22	Female	75
2016	23	Female	589
2016	24	Female	348
2016	25	Female	597
2016	26	Female	1228
2016	27	Female	691
2016	28	Female	354
2016	29	Female	171
2016	30	Female	305
2016	31	Female	1650
2016	32	Female	803
2016	33	Female	550
2016	34	Female	200
2016	35	Female	852
2016	36	Female	103
2016	37	Female	598
2016	38	Female	268
2016	39	Female	170
2016	40	Female	134
2016	41	Female	98
2016	42	Female	15
2016	43	Female	506
2016	44	Female	509
2016	45	Female	618
2016	46	Female	381
2016	47	Female	37
2016	48	Female	260
2016	49	Female	65
2016	50	Female	469
2016	51	Female	303
2016	52	Female	624
2016	53	Female	174
2016	54	Female	70
2016	55	Female	310
2016	56	Female	28
2016	57	Female	245
2016	58	Female	44
2016	59	Female	233
2016	60	Female	896
2016	61	Female	646
2016	62	Female	299
2016	63	Female	470
2016	64	Female	974
2016	65	Female	589
2016	66	Female	406
2016	67	Female	195
2016	68	Female	813
2016	69	Female	332
2016	70	Female	704
2016	71	Female	407
2016	72	Female	535
2016	73	Female	501
2015	1	Male	3219
2015	2	Male	1164
2015	3	Male	808
2015	4	Male	1302
2015	5	Male	999
2015	6	Male	1544
2015	7	Male	1376
2015	8	Male	1443
2015	9	Male	1699
2015	10	Male	1188
2015	11	Male	1573
2015	12	Male	33
2015	13	Male	691
2015	14	Male	372
2015	15	Male	605
